,driverId,truckId,eventTime,eventType,longitude,latitude,eventKey,CorrelationId,driverName,routeId,routeName,eventDate
110,21,109,59:37.9,Normal,-94.46,37.16,21|109|9223370572464797866,3.66e+18,Jeff Markham,1594289134,Memphis to Little Rock Route 2,2016-05-27-22
111,28,39,59:38.1,Normal,-92.74,39.76,28|39|9223370572464797666,3.66e+18,Olivier Renault,137128276,Springfield to KC Via Hanibal Route 2,2016-05-27-22
112,32,42,59:38.2,Normal,-90.04,35.19,32|42|9223370572464797641,3.66e+18,Ryan Templeton,1090292248,Peoria to Ceder Rapids Route 2,2016-05-27-22
113,16,12,59:38.7,Normal,-89.52,40.7,16|12|9223370572464797154,3.66e+18,Tom McCuch,1961634315,Saint Louis to Memphis,2016-05-27-22
114,15,51,59:38.7,Normal,-90.04,35.19,15|51|9223370572464797076,3.66e+18,Rohit Bakshi,1384345811,Joplin to Kansas City,2016-05-27-22
115,11,74,59:38.9,Normal,-88.77,40.76,11|74|9223370572464796896,3.66e+18,Jamie Engesser,1567254452,Saint Louis to Memphis Route2,2016-05-27-22
116,10,85,59:38.9,Normal,-93.34,37.21,10|85|9223370572464796876,3.66e+18,George Vetticaden,1390372503,Saint Louis to Tulsa,2016-05-27-22
117,32,42,59:39.0,Normal,-90.04,35.19,32|42|9223370572464796786,3.66e+18,Ryan Templeton,1090292248,Peoria to Ceder Rapids Route 2,2016-05-27-22
118,13,89,59:39.1,Normal,-87.66,41.89,13|89|9223370572464796665,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
119,20,41,59:39.6,Normal,-87.66,41.89,20|41|9223370572464796246,3.66e+18,Chris Harris,160779139,Des Moines to Chicago Route 2,2016-05-27-22
120,23,68,59:39.6,Normal,-89.91,40.86,23|68|9223370572464796242,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
121,30,58,59:39.7,Normal,-87.66,41.89,30|58|9223370572464796076,3.66e+18,Dan Rice,160779139,Des Moines to Chicago Route 2,2016-05-27-22
122,31,18,59:39.7,Normal,-94.3,37.66,31|18|9223370572464796074,3.66e+18,Rommel Garcia,1594289134,Memphis to Little Rock Route 2,2016-05-27-22
123,32,42,59:39.8,Normal,-90.37,35.21,32|42|9223370572464796015,3.66e+18,Ryan Templeton,1090292248,Peoria to Ceder Rapids Route 2,2016-05-27-22
124,13,89,59:40.1,Normal,-87.66,41.89,13|89|9223370572464795751,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
125,23,68,59:40.4,Normal,-90.29,40.96,23|68|9223370572464795396,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
126,26,57,59:40.5,Normal,-93.69,37.16,26|57|9223370572464795356,3.66e+18,Michael Aube,1325712174,Saint Louis to Tulsa Route2,2016-05-27-22
127,16,12,59:40.6,Normal,-89.91,40.86,16|12|9223370572464795226,3.66e+18,Tom McCuch,1961634315,Saint Louis to Memphis,2016-05-27-22
128,32,42,59:40.7,Normal,-90.68,35.12,32|42|9223370572464795135,3.66e+18,Ryan Templeton,1090292248,Peoria to Ceder Rapids Route 2,2016-05-27-22
129,17,15,59:40.8,Normal,-94.0,39.03,17|15|9223370572464794975,3.66e+18,Eric Mizell,1927624662,Springfield to KC Via Columbia,2016-05-27-22
130,20,41,59:41.3,Normal,-88.41,42.11,20|41|9223370572464794483,3.66e+18,Chris Harris,160779139,Des Moines to Chicago Route 2,2016-05-27-22
131,23,68,59:41.3,Normal,-90.44,41.54,23|68|9223370572464794476,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
132,15,51,59:41.4,Normal,-90.68,35.12,15|51|9223370572464794366,3.66e+18,Rohit Bakshi,1384345811,Joplin to Kansas City,2016-05-27-22
133,29,66,59:41.5,Normal,-93.61,35.51,29|66|9223370572464794305,3.66e+18,Teddy Choi,803014426,Wichita to Little Rock Route 2,2016-05-27-22
134,21,109,59:41.5,Normal,-94.35,38.33,21|109|9223370572464794264,3.66e+18,Jeff Markham,1594289134,Memphis to Little Rock Route 2,2016-05-27-22
135,28,39,59:41.8,Normal,-93.6,39.77,28|39|9223370572464793966,3.66e+18,Olivier Renault,137128276,Springfield to KC Via Hanibal Route 2,2016-05-27-22
136,13,89,59:42.0,Normal,-88.41,42.11,13|89|9223370572464793816,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
137,23,68,59:42.2,Normal,-90.7,41.62,23|68|9223370572464793605,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
138,19,26,59:42.3,Normal,-93.36,35.4,19|26|9223370572464793556,3.66e+18,Ajay Singh,1962261785,Wichita to Little Rock.kml,2016-05-27-22
139,18,16,59:42.4,Normal,-93.93,39.76,18|16|9223370572464793436,3.66e+18,Grant Liu,1565885487,Springfield to KC Via Hanibal,2016-05-27-22
140,11,74,59:42.6,Normal,-87.67,41.87,11|74|9223370572464793175,3.66e+18,Jamie Engesser,1567254452,Saint Louis to Memphis Route2,2016-05-27-22
141,25,96,59:42.7,Normal,-90.15,38.62,25|96|9223370572464793125,3.66e+18,Jean-Philippe Player,371182829,Memphis to Little Rock,2016-05-27-22
142,20,41,59:42.9,Normal,-88.96,42.25,20|41|9223370572464792926,3.66e+18,Chris Harris,160779139,Des Moines to Chicago Route 2,2016-05-27-22
143,26,57,59:43.1,Normal,-94.54,37.02,26|57|9223370572464792676,3.66e+18,Michael Aube,1325712174,Saint Louis to Tulsa Route2,2016-05-27-22
144,16,12,59:43.2,Normal,-90.7,41.62,16|12|9223370572464792646,3.66e+18,Tom McCuch,1961634315,Saint Louis to Memphis,2016-05-27-22
145,18,16,59:43.3,Normal,-94.15,39.77,18|16|9223370572464792466,3.66e+18,Grant Liu,1565885487,Springfield to KC Via Hanibal,2016-05-27-22
146,10,85,59:43.5,Normal,-94.83,36.84,10|85|9223370572464792286,3.66e+18,George Vetticaden,1390372503,Saint Louis to Tulsa,2016-05-27-22
147,24,97,59:43.6,Normal,-88.07,41.48,24|97|9223370572464792195,3.66e+18,Don Hilborn,1090292248,Peoria to Ceder Rapids Route 2,2016-05-27-22
148,13,89,59:43.8,Normal,-88.96,42.25,13|89|9223370572464791985,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
149,23,68,59:43.9,Normal,-91.32,41.71,23|68|9223370572464791865,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
150,21,109,59:44.1,Normal,-94.59,39.1,21|109|9223370572464791736,3.66e+18,Jeff Markham,1594289134,Memphis to Little Rock Route 2,2016-05-27-22
151,20,41,59:44.4,Normal,-89.29,41.85,20|41|9223370572464791375,3.66e+18,Chris Harris,160779139,Des Moines to Chicago Route 2,2016-05-27-22
152,28,39,59:44.5,Normal,-94.25,39.73,28|39|9223370572464791345,3.66e+18,Olivier Renault,137128276,Springfield to KC Via Hanibal Route 2,2016-05-27-22
153,30,58,59:44.5,Normal,-88.96,42.25,30|58|9223370572464791305,3.66e+18,Dan Rice,160779139,Des Moines to Chicago Route 2,2016-05-27-22
154,13,89,59:44.8,Normal,-89.03,41.92,13|89|9223370572464791056,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
155,29,66,59:44.8,Normal,-92.53,35.15,29|66|9223370572464790983,3.66e+18,Teddy Choi,803014426,Wichita to Little Rock Route 2,2016-05-27-22
156,18,16,59:45.0,Normal,-94.24,39.63,18|16|9223370572464790796,3.66e+18,Grant Liu,1565885487,Springfield to KC Via Hanibal,2016-05-27-22
157,28,39,59:45.3,Normal,-94.24,39.63,28|39|9223370572464790473,3.66e+18,Olivier Renault,137128276,Springfield to KC Via Hanibal Route 2,2016-05-27-22
158,30,58,59:45.4,Normal,-89.03,41.92,30|58|9223370572464790405,3.66e+18,Dan Rice,160779139,Des Moines to Chicago Route 2,2016-05-27-22
159,11,74,59:45.5,Normal,-88.77,40.76,11|74|9223370572464790325,3.66e+18,Jamie Engesser,1567254452,Saint Louis to Memphis Route2,2016-05-27-22
160,23,68,59:45.7,Normal,-91.63,41.72,23|68|9223370572464790145,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
161,15,51,59:45.8,Normal,-91.93,34.81,15|51|9223370572464790041,3.66e+18,Rohit Bakshi,1384345811,Joplin to Kansas City,2016-05-27-22
162,16,12,59:45.8,Normal,-91.47,41.74,16|12|9223370572464790028,3.66e+18,Tom McCuch,1961634315,Saint Louis to Memphis,2016-05-27-22
163,17,15,59:46.0,Normal,-94.16,39.04,17|15|9223370572464789816,3.66e+18,Eric Mizell,1927624662,Springfield to KC Via Columbia,2016-05-27-22
164,10,85,59:46.0,Normal,-95.35,36.47,10|85|9223370572464789775,3.66e+18,George Vetticaden,1390372503,Saint Louis to Tulsa,2016-05-27-22
165,23,68,59:46.4,Normal,-91.78,42.23,23|68|9223370572464789385,3.66e+18,Adam Diaz,160405074,Joplin to Kansas City Route 2,2016-05-27-22
166,13,89,59:46.6,Normal,-89.6,41.76,13|89|9223370572464789231,3.66e+18,Joe Niemiec,927636994,Des Moines to Chicago.kml,2016-05-27-22
167,12,104,59:46.7,Normal,-89.56,37.2,12|104|9223370572464789146,3.66e+18,Paul Codding,24929475,Peoria to Ceder Rapids,2016-05-27-22
168,19,26,59:46.7,Normal,-92.25,34.75,19|26|9223370572464789133,3.66e+18,Ajay Singh,1962261785,Wichita to Little Rock.kml,2016-05-27-22
169,10,85,59:46.9,Overspeed,-95.5,36.37,10|85|9223370572464788896,3.66e+18,George Vetticaden,1390372503,Saint Louis to Tulsa,2016-05-27-22
170,11,74,59:47.3,Unsafe tail distance,-89.63,39.84,11|74|9223370572464788546,3.66e+18,Jamie Engesser,1567254452,Saint Louis to Memphis Route2,2016-05-27-22
